Store,Analyst,Industry,Type,Title,Link,Published,Summary
ULTA Beauty,Kashish Kasar,Mass Merchandisers,Opening,"Alshaya Group signs agreement with Mabanee to open H&M, Primark, Ulta Beauty and over 20 more stores at Aventura Mall - ZAWYA",https://news.google.com/rss/articles/CBMijwJBVV95cUxOU1N4Sjhza1pFMk9DOFBIYnF4dG9JdU00VmstM0gxNDA4aGsyUHMxSHlUOEtEaW56LU5BNTk1NG9WWW1HamNHMGZpTmkySk5CUTRnU0VqR00wVG1BMWRoYWc2Z25sV0trenpLNi1DX0ZKNU0wajNlNE1nYlhMYlZ6SHV1aDRneUY2cjk0SXdqcnZIYjNUNFl6NXA2c1dnOTFJeERoRFNYeUl5ZVJrZGRab0I5VXVVeDJlekFMaFlSQkpMV2l5RERPTXhiaEJXMWEtczBNVjdQUHczQ0FEZFNCTnQ4OW5sMnlxRVdWLU5aN3ZlVk9vYTRwcUQ1Xy1reDFXZDMyUG1zcW1MM2RSV3BN?oc=5,"Wed, 13 May 2026 08:45:48 GMT","Alshaya Group signs agreement with Mabanee to open H&M, Primark, Ulta Beauty and over 20 more stores at Aventura Mall ZAWYA"
ULTA Beauty,Kashish Kasar,Mass Merchandisers,Opening,Ulta Beauty planning to open new regional distribution center in Utah - KMYU,https://news.google.com/rss/articles/CBMipwFBVV95cUxOX21OaVUwNWx5ank5QTdZZ2pIYVV2RkgxVnlZdk1iMkNyc1NfM2xYc3o4OXgwNkNDOGg2bkIzUWtWY2lsZHdReFJWeF8zYWdyY3ZTenJnNWFJYVdkNmpmSmdoQ0VqR3c3S2kxbExBeVVkaVh1Q2doSHJ1OTRzZFJqUU5rTHBDWkRxb2s5bFBtYjk2cXotOC00anBJdWJvSGdpb0RRRDNLMA?oc=5,"Wed, 13 May 2026 02:31:12 GMT",Ulta Beauty planning to open new regional distribution center in Utah KMYU
ULTA Beauty,Kashish Kasar,Mass Merchandisers,Opening,Ulta Beauty planning to open new regional distribution center in Utah - KUTV,https://news.google.com/rss/articles/CBMingFBVV95cUxPOVNsOGlzYU1nMm1QSldQRVNKZUNjWnc0QmFBeTFGUGVtaExuanozQjBrOFhHVkRQVmpaMFQ4QVliQmxjdUg4V2hXUjVWZEZoSk5fb0ZwTl9DU2hfckpyU1lSYWFZWmF2dnBUZTVNLTN4SzEyNTRyWUp1Uks3R0daMWVWSFN1Ty1TTDhnbkxMMlBKT0ZfVThRSDEzVnpiZw?oc=5,"Tue, 12 May 2026 23:58:38 GMT",Ulta Beauty planning to open new regional distribution center in Utah KUTV
ULTA Beauty,Kashish Kasar,Mass Merchandisers,Opening,Ulta to open nearly 400K square-foot distribution center in Utah - Supply Chain Dive,https://news.google.com/rss/articles/CBMirgFBVV95cUxPQzY0cGpqQ25UMmVLMnV2V29XTWh5MHlGNkgwVENoUHRjb0o4U3ptdmFwUlJnaW9UQUx0VHZ0SUs5aUg1cldpcG12aC1tbWU3RjE0YWI1cGR1UVpWblVhczVfSnM5LVExUDBBQ2lDeEhkZVFZTmU4TDVicHJuQkFKeE0waGs3Y0JSNjFEZXUwaTNGZUFMTVZycF9zMHY5dUMxVjVTLWx5d0pmOGhFaUE?oc=5,"Tue, 12 May 2026 19:07:23 GMT",Ulta to open nearly 400K square-foot distribution center in Utah Supply Chain Dive
Food City,Kashish Kasar,Grocery,Opening,Food City to break ground on new Madison location - Hville Blast,https://news.google.com/rss/articles/CBMif0FVX3lxTE9XdzZEY2dwMWpoRVNuWW5ENWZCMDcybHdqaUh3UHNQLVUyZmgzRGJnWW1LRmZuTlVaMXFUR3EzUGVKRkRWVHFaWnhIZ1VaeGNfaHR4T1FvU1ZWVjJ2Z0g1aWJhU2RaZjl6bF93YTAxSm1IaTNVSnJNU1UxSElMZlk?oc=5,"Tue, 12 May 2026 21:01:16 GMT",Food City to break ground on new Madison location Hville Blast
Taco Bell,Kashish Kasar,Restaurants,Opening,Northern Ireland’s First Taco Bell To Open On Monday - Business Eye,https://news.google.com/rss/articles/CBMikAFBVV95cUxNb0lVbl83a21CdFVnd1FhcFB2eVEwNGFhMzBzZUp0VUZJenhfbENOeHk4dzhnVl9SQ3FKUnJhQ0JDR3RkeUZ2b3F5ZEtGM1Bib0paWTZTVk9JX3Rac2lxZWdUdUJnYlluWGFuMDNWNmU3Qkk2LXZGVW5qRjlDaVlSVWRicmFISm5aaUxFTHNMZEw?oc=5,"Tue, 12 May 2026 12:28:14 GMT",Northern Ireland’s First Taco Bell To Open On Monday Business Eye
Taco Bell,Kashish Kasar,Restaurants,Closing,Wendy's launches Taco Bell-style rewards amid store closures - MSN,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPTURPcmdtYWpkVi1MNjZTbGV5U2k0UXFoVGZnUmRLcjhreEliUE9hLW1zMmRVbW5rb1FZdmZJMDR6WUtHU0R6dXVlcjhXd1FFTFFFZHcxb0NSb3FXZ3VrcTc1U0VzYXEwWml1NDVpcTVvUDZDOV9sODB1aGxzTW5XYzVHelZSU2hrb1lQOWJ4ZkZhMThOUTdqMHdTOU16cS1lTVRLRHBvT05oN1V6UTRIMjFpc2ZYZEItMjZ3WTFrbkJDY0lRRl9uWGR1REJodFl3UmhNQlBXMHRmN3gxYW13cXQxdTY?oc=5,"Wed, 13 May 2026 11:12:24 GMT",Wendy's launches Taco Bell-style rewards amid store closures MSN
Casey's General Stores,Rahul Vasaya,Convenience Stores / Distributors,Opening,Buc-ee’s is expanding to new states. Here’s where - AOL.com,https://news.google.com/rss/articles/CBMifkFVX3lxTFBCTkFleEVpUlk0c0tlMkxBRW10akJZZEsxWkd1cEdGV2dhVVJWZ05qQWRSeVBUWlAyU0xrelIxQ25jVndXMkRVRVBfWkRUZzFxZjBfR010UnQzNks0RXdvS0luWkpTVjVjTnZhazlnQ1RLNUF6MGhVcnNpUzh6Zw?oc=5,"Tue, 12 May 2026 09:47:32 GMT",Buc-ee’s is expanding to new states. Here’s where AOL.com
Safeway,Rahul Vasaya,Grocery,Closing,Final days before shoppers say final farewell to Safeway grocery store as supermarket giant confirms May 16 closure - the-sun.com,https://news.google.com/rss/articles/CBMikAFBVV95cUxOdHlQYXZabFIzcWRkN0JVLW1XRjg1eGVBaEVPYXNsQnJpRDAtUEVmVTBLMTZwSlFfQkVEeHFNWG5CZVdNRUVoRGZVRnFmTVZWZ0FMZG50dnY0OENzSjVncE5wanQ3eko2aGtnV0l6OVhGVDU1SUZaZFN3VjFpb0gzNW9mUUNQMmppZG5EM25DSVM?oc=5,"Wed, 13 May 2026 12:50:54 GMT",Final days before shoppers say final farewell to Safeway grocery store as supermarket giant confirms May 16 closure the-sun.com
Sprouts Farmers Market,Rahul Vasaya,Grocery,Opening,Hugely-popular grocery store chain planning first ever Columbus-area location - 614NOW,https://news.google.com/rss/articles/CBMif0FVX3lxTE13LURhNnJoVFQxWVowZ05vNTR0U3duT19VaExGWllpcG1HVnR1SVlrT201RzJYbjVPbVIxTG5iVHdoYkY5Rl9tVGVuaXpuRmpZd2Ztd0JjMDAzbmlkRWRWYmYwd2NUN0oxal8wTFJ2QlEzcVBPN0tvbG14OGNFR1k?oc=5,"Wed, 13 May 2026 16:05:10 GMT",Hugely-popular grocery store chain planning first ever Columbus-area location 614NOW
