state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME
Texas,,,,,,,,06/24/2025,"Compass Group, Inc.d.b.a.Chartwells (Lancaster ISD)",Dallas,Dallas County WDA,83.0,06/30/2025,06/24/2025,Lancaster
Texas,,,,,,,,06/24/2025,Management & Training Corporation (Willacy County State Jail),Willacy,Lower Rio Grande Valley WDA,166.0,08/31/2025,06/24/2025,Raymondville
Texas,,,,,,,,06/24/2025,Management & Training Corporation (Lindsey State Jail),Jack,North Texas WDA,117.0,08/31/2025,06/24/2025,Jacksboro
Texas,,,,,,,,06/24/2025,Management & Training Corporation (Kyle Correctional Center),Hays,Rural Capital WDA,98.0,08/31/2025,06/24/2025,Kyle
Texas,,,,,,,,06/24/2025,Management & Training Corporation (Gregory S. Coleman Unit),Caldwell,Rural Capital WDA,135.0,08/31/2025,06/24/2025,Lockhart
Texas,,,,,,,,06/24/2025,Management & Training Corporation (Bridgeport Correctional Facility),Wise,North Central Texas WDA,103.0,08/31/2025,06/24/2025,Bridgeport
Texas,,,,,,,,06/20/2025,Management & Training Corp. (Billy Moore Correctional Center),Rusk,East Texas WDA,109.0,08/31/2025,06/20/2025,Overton
Texas,,,,,,,,06/20/2025,Management & Training Corp. (Bradshaw State Jail),Rusk,East Texas WDA,172.0,08/31/2025,06/20/2025,Henderson
Texas,,,,,,,,06/18/2025,"Encino Energy, LLC",Harris,Gulf Coast WDA,121.0,08/17/2025,06/18/2025,Houston
Texas,,,,,,,,06/18/2025,Tyson Foods (Fort Worth Distribution Center),Tarrant,Tarrant County WDA,275.0,08/15/2025,06/18/2025,Fort Worth
Texas,,,,,,,,06/18/2025,"Khoros, LLC.",Travis,Capital Area WDA,116.0,08/19/2025,06/18/2025,Austin
Texas,,,,,,,,06/17/2025,Lockheed Martin Corp. -Fort Bliss ATMP,El Paso,Borderplexjobs WDA,17.0,06/30/2025,06/17/2025,Fort Bliss
Texas,,,,,,,,06/11/2025,Tom Thumb Store #3645 Plano,Collin,North Central Texas WDA,75.0,07/26/2025,06/11/2025,Plano
Texas,,,,,,,,06/11/2025,Randalls Store #1041,Harris,Gulf Coast WDA,102.0,08/16/2025,06/11/2025,Houston
Texas,,,,,,,,06/11/2025,Movate Inc. (The Genesis Project),Bell,Central Texas WDA,26.0,08/08/2025,06/11/2025,Temple
Texas,,,,,,,,06/04/2025,XiFin,Travis,Capital Area WDA,87.0,05/29/2025,06/04/2025,Austin
