state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,Unnamed: 0,Worker Adjustment and Retraining Notification (WARN) List,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Oregon,,,,,,,,9306,Portland - Production Facility,Portland,2025-08-05 00:00:00,90,Large Layoff - 10 or more workers,2025-07-29 00:00:00
Oregon,,,,,,,,9299,Store #128,Portland,2025-09-20 00:00:00,249,Permanent closure,2025-07-16 00:00:00
Oregon,,,,,,,,9296,Oregon Mutual,McMinnville,2025-09-12 00:00:00,10,Reduction,2025-07-11 00:00:00
Oregon,,,,,,,,9296,Oregon - Remote Employees,,2025-09-12 00:00:00,32,Reduction,2025-07-11 00:00:00
Oregon,,,,,,,,9294,"Outside Van, LLC",Portland,2025-09-12 00:00:00,56,Permanent closure,2025-07-08 00:00:00
Oregon,,,,,,,,9293,"Elam Young Pkwy., Hillsboro",Hillsboro,2025-07-15 00:00:00,174,Reduction,2025-07-07 00:00:00
Oregon,,,,,,,,9293,Aloha Facility,Aloha,2025-07-15 00:00:00,194,Reduction,2025-07-07 00:00:00
Oregon,,,,,,,,9293,"Century Blvd., Hillsboro",Hillsboro,2025-07-15 00:00:00,1544,Reduction,2025-07-07 00:00:00
Oregon,,,,,,,,9293,"25th Ave., Hillsboro",Hillsboro,2025-07-15 00:00:00,597,Reduction,2025-07-07 00:00:00
Oregon,,,,,,,,9285,Pilot Rock Sawmill,Pilot Rock,2025-09-01 00:00:00,62,Permanent closure,2025-07-01 00:00:00
Oregon,,,,,,,,9273,Prineville Facility,Prineville,2025-11-21 00:00:00,52,Permanent closure,2025-06-24 00:00:00
Oregon,,,,,,,,9273,Prineville Facility,Prineville,2025-11-07 00:00:00,51,Permanent closure,2025-06-24 00:00:00
Oregon,,,,,,,,9273,Prineville Facility,Prineville,2025-08-25 00:00:00,81,Permanent closure,2025-06-24 00:00:00
Oregon,,,,,,,,9286,Rogue Valley Transportation District,Medford,2025-08-30 00:00:00,82,Large Layoff - 10 or more workers,2025-06-23 00:00:00
Oregon,,,,,,,,9268,PIVOT Job Corps Center Facility,Portland ,2025-06-30 00:00:00,12,Permanent closure,2025-06-09 00:00:00
Oregon,,,,,,,,9267,Springdale Job Corps Center,Troutdale,2025-06-30 00:00:00,77,Permanent closure,2025-06-09 00:00:00
Oregon,,,,,,,,9259,Tongue Point Job Corps Center,Astoria,2025-06-06 00:00:00,168,Large Layoff - 10 or more workers,2025-06-04 00:00:00
Oregon,,,,,,,,9249,Remote Workers,,2025-07-28 00:00:00,149,Large Layoff - 10 or more workers,2025-05-29 00:00:00
Oregon,,,,,,,,9249,Powin LLC,Tualatin,2025-07-28 00:00:00,96,Large Layoff - 10 or more workers,2025-05-29 00:00:00
Oregon,,,,,,,,9257,"ESS Tech, Inc.",Wilsonville,2025-05-30 00:00:00,195,Permanent closure,2025-05-27 00:00:00
Oregon,,,,,,,,9218,Chiloquin Facility,Chiloquin,2025-06-30 00:00:00,128,Permanent closure,2025-05-01 00:00:00
Oregon,,,,,,,,9230,Store 0505 - Portland,Portland,2025-07-01 00:00:00,87,Permanent closure,2025-04-30 00:00:00
Oregon,,,,,,,,9179,Portland Facility,Portland,2025-06-26 00:00:00,47,Large Layoff - 10 or more workers,2025-04-27 00:00:00
Oregon,,,,,,,,9210,Oregon - Remote Employees,Portand,2025-04-22 00:00:00,16,Large Layoff - 10 or more workers,2025-04-22 00:00:00
Oregon,,,,,,,,9207,"Lignetics, Inc. - Cascade Locks Facilit",Cascade Locks,2025-06-30 00:00:00,11,Temporary Layoff,2025-04-21 00:00:00
Oregon,,,,,,,,9206,"Navajo Incorprated, Portland Facility",Portland,2025-06-30 00:00:00,11,Large Layoff - 10 or more workers,2025-04-16 00:00:00
Oregon,,,,,,,,9198,"Portland, Oregon Facility",Portland,2025-05-31 00:00:00,72,Permanent closure,2025-04-08 00:00:00
Oregon,,,,,,,,9178,UPS,"Atlanta, GA",2025-06-30 00:00:00,244,Temporary Layoff,2025-03-28 00:00:00
Oregon,,,,,,,,9204,Safeway Store 4381,Baker City,2025-05-25 00:00:00,82,Permanent closure,2025-03-26 00:00:00
Oregon,,,,,,,,9199,Oregon - Statewide,,2025-06-02 00:00:00,105,Large Layoff - 10 or more workers,2025-03-26 00:00:00
Oregon,,,,,,,,9131,Portland - Site,Portland,2025-02-18 00:00:00,96,Permanent closure,2025-02-18 00:00:00
Oregon,,,,,,,,9082,Macy's - Salem Center,Salem,2025-03-18 00:00:00,56,Permanent closure,2025-01-09 00:00:00
Oregon,,,,,,,,9068,"Vimo, Inc. dba GetInsured","Mountain View, CA",2025-02-19 00:00:00,429,Reduction,2024-12-20 00:00:00
Oregon,,,,,,,,9068,Oregon - Remote Employees,,2025-02-19 00:00:00,1,Reduction,2024-12-20 00:00:00
Oregon,,,,,,,,9056,Remote Workers - Oregon,Portland,2025-02-08 00:00:00,1,Reduction,2024-12-10 00:00:00
Oregon,,,,,,,,9056,"Natural Fiber Welding, Inc. ","Peoria, IL",2025-02-08 00:00:00,90,Reduction,2024-12-10 00:00:00
Oregon,,,,,,,,9057,Albertsons Store 0515,Roseburg,2025-02-07 00:00:00,87,Permanent closure,2024-12-06 00:00:00
Oregon,,,,,,,,9049,Wells Fargo N.A. William Barnhart Cente,Hillsboro,2025-10-01 00:00:00,500,Permanent closure,2024-12-03 00:00:00
Oregon,,,,,,,,9048,Hawthorne Ave - Salem,Salem,2025-10-01 00:00:00,221,Permanent closure,2024-12-03 00:00:00
Oregon,,,,,,,,9050,Cabinet Door Service,Salem,2024-11-20 00:00:00,60,Large Layoff - 10 or more workers,2024-11-19 00:00:00
Oregon,,,,,,,,9034,The Boeing Company - Oregon Location,Portland,2025-01-17 00:00:00,50,Reduction,2024-11-15 00:00:00
Oregon,,,,,,,,9029,#4184 - Portland,Portland,2025-03-10 00:00:00,13,Permanent closure,2024-11-14 00:00:00
Oregon,,,,,,,,9029,#4324 - Sandy,Sandy,2025-03-10 00:00:00,16,Permanent closure,2024-11-14 00:00:00
Oregon,,,,,,,,9029,#3573 - Gresham,Gresham,2025-03-09 00:00:00,12,Permanent closure,2024-11-14 00:00:00
Oregon,,,,,,,,9029,#3911 - Milwaukie,Milwaukie,2025-03-09 00:00:00,14,Permanent closure,2024-11-14 00:00:00
Oregon,,,,,,,,9029,#3113 - Beaverton,Beaverton,2025-03-05 00:00:00,9,Permanent closure,2024-11-14 00:00:00
Oregon,,,,,,,,9029,#9938 - Portland,Portland,2025-03-05 00:00:00,9,Permanent closure,2024-11-14 00:00:00
Oregon,,,,,,,,9029,#3574 - Gresham,Gresham,2025-03-05 00:00:00,9,Permanent closure,2024-11-14 00:00:00
Oregon,,,,,,,,9029,#7866 - Beaverton,Beaverton,2025-02-27 00:00:00,8,Permanent closure,2024-11-14 00:00:00
Oregon,,,,,,,,9029,#4181 - Portland,Portland,2025-02-26 00:00:00,9,Permanent closure,2024-11-14 00:00:00
Oregon,,,,,,,,9029,Distribution Center - Portland,Portland,2025-02-15 00:00:00,80,Permanent closure,2024-11-14 00:00:00
Oregon,,,,,,,,9029,#3612 - Hillsboro,Hillsboro,2025-02-02 00:00:00,6,Permanent closure,2024-11-14 00:00:00
Oregon,,,,,,,,9025,Hillsboro Client Site,Hillsboro,2024-12-31 00:00:00,205,Large Layoff - 10 or more workers,2024-11-05 00:00:00
Oregon,,,,,,,,9016,"Misfits Markets, Inc. ",Clackamas,2024-12-31 00:00:00,64,Permanent closure,2024-10-30 00:00:00
Oregon,,,,,,,,8987,DENNIS Uniform,Portland ,2024-10-19 00:00:00,111,Large Layoff - 10 or more workers,2024-10-19 00:00:00
Oregon,,,,,,,,8985,Portland - Production and Maintenance P,Portland,2025-01-07 00:00:00,49,Permanent closure,2024-10-17 00:00:00
